200,658025,56,12.11.2022 18:30:15,0
400,331068,69,12.11.2022 18:41:13,0
600,220792,78,12.11.2022 18:46:44,0
800,165698,79,12.11.2022 18:50:24,0
1200,137383,103,12.11.2022 18:53:24,0
1400,134421,101,12.11.2022 18:55:41,0
1600,141938,101,12.11.2022 18:57:55,0
1800,137769,104,12.11.2022 19:00:17,0
2000,129445,118,12.11.2022 19:02:35,0
2200,128597,123,12.11.2022 19:04:45,0
2400,123671,129,12.11.2022 19:06:53,0
2600,125250,137,12.11.2022 19:08:57,0
2800,123550,136,12.11.2022 19:11:02,0
3000,123740,144,12.11.2022 19:13:06,0
3600,125471,148,12.11.2022 19:18:17,0
3800,125029,143,12.11.2022 19:20:22,0
4000,120122,151,12.11.2022 19:22:27,0
4200,124451,178,12.11.2022 19:24:27,0
4400,120692,173,12.11.2022 19:26:32,0
4600,120312,185,12.11.2022 19:28:33,0
4800,122485,192,12.11.2022 19:30:33,0
5000,119363,197,12.11.2022 19:32:35,0
5200,118965,188,12.11.2022 19:34:35,0
5400,121444,203,12.11.2022 19:36:34,0
5800,119143,191,12.11.2022 19:40:36,0
6000,121711,200,12.11.2022 19:42:35,0
6400,122759,255,12.11.2022 19:46:01,0
6600,117556,260,12.11.2022 19:48:04,0
6800,114070,244,12.11.2022 19:50:02,0
7000,119074,236,12.11.2022 19:51:56,0
7200,118687,246,12.11.2022 19:53:55,0
7400,137800,248,12.11.2022 19:55:54,0
7600,117050,261,12.11.2022 19:58:12,0
7800,164619,247,12.11.2022 20:00:09,0
8000,140127,266,12.11.2022 20:02:53,0
8200,144429,250,12.11.2022 20:05:13,0
8400,120218,251,12.11.2022 20:07:38,0
